path,value
/SOL_MUR/blobs/blob28/id,0
/SOL_MUR/blobs/blob28/tx,-4
/SOL_MUR/blobs/blob28/ty,-3.125
/SOL_MUR/blobs/blob28/u,-0.18212825059890747
/SOL_MUR/blobs/blob28/v,0
/SOL_MUR/blobs/blob29/id,0
/SOL_MUR/blobs/blob29/tx,-4
/SOL_MUR/blobs/blob29/ty,-3.125
/SOL_MUR/blobs/blob29/u,-0.18212825059890747
/SOL_MUR/blobs/blob29/v,0
/SOL_MUR/blobs/blob3/id,0
/SOL_MUR/blobs/blob3/tx,-4
/SOL_MUR/blobs/blob3/ty,-3.125
/SOL_MUR/blobs/blob3/u,-0.18212825059890747
/SOL_MUR/blobs/blob3/v,0
/SOL_MUR/blobs/blob4/id,0
/SOL_MUR/blobs/blob4/tx,-4
/SOL_MUR/blobs/blob4/ty,-3.125
/SOL_MUR/blobs/blob4/u,-0.18212825059890747
/SOL_MUR/blobs/blob4/v,0
/SOL_MUR/blobs/blob5/id,1192075
/SOL_MUR/blobs/blob5/tx,0.7042789459228516
/SOL_MUR/blobs/blob5/ty,-2.7943530082702637
/SOL_MUR/blobs/blob5/u,0.6201021671295166
/SOL_MUR/blobs/blob5/v,0.05290353298187256
/SOL_MUR/blobs/blob6/id,0
/SOL_MUR/blobs/blob6/tx,-4
/SOL_MUR/blobs/blob6/ty,-3.125
/SOL_MUR/blobs/blob6/u,-0.18212825059890747
/SOL_MUR/blobs/blob6/v,0
/SOL_MUR/blobs/blob7/id,0
/SOL_MUR/blobs/blob7/tx,-4
/SOL_MUR/blobs/blob7/ty,-3.125
/SOL_MUR/blobs/blob7/u,-0.18212825059890747
/SOL_MUR/blobs/blob7/v,0
/SOL_MUR/blobs/blob8/id,0
/SOL_MUR/blobs/blob8/tx,-4
/SOL_MUR/blobs/blob8/ty,-3.125
/SOL_MUR/blobs/blob8/u,-0.18212825059890747
/SOL_MUR/blobs/blob8/v,0
/SOL_MUR/blobs/blob9/id,0
/SOL_MUR/blobs/blob9/tx,-4
/SOL_MUR/blobs/blob9/ty,-3.125
/SOL_MUR/blobs/blob9/u,-0.18212825059890747
/SOL_MUR/blobs/blob9/v,0
/SOL_MUR/specs/Scalex,5.863999843597412
/SOL_MUR/specs/Scaley,6.25
/MUR/blobs/blob0/id,0
/MUR/blobs/blob0/tx,-4
/MUR/blobs/blob0/ty,-4.6875
/MUR/blobs/blob0/u,-0.18212825059890747
/MUR/blobs/blob0/v,-1
/MUR/blobs/blob1/id,0
/MUR/blobs/blob1/tx,-4
/MUR/blobs/blob1/ty,-4.6875
/MUR/blobs/blob1/u,-0.18212825059890747
/MUR/blobs/blob1/v,-1
/MUR/blobs/blob2/id,0
/MUR/blobs/blob2/tx,-4
/MUR/blobs/blob2/ty,-4.6875
/MUR/blobs/blob2/u,-0.18212825059890747
/MUR/blobs/blob2/v,-1
/MUR/blobs/blob3/id,0
/MUR/blobs/blob3/tx,-4
/MUR/blobs/blob3/ty,-4.6875
/MUR/blobs/blob3/u,-0.18212825059890747
/MUR/blobs/blob3/v,-1
/MUR/blobs/blob4/id,0
/MUR/blobs/blob4/tx,-4
/MUR/blobs/blob4/ty,-4.6875
/MUR/blobs/blob4/u,-0.18212825059890747
/MUR/blobs/blob4/v,-1
/MUR/blobs/blob5/id,0
